type,title,reference,status,description,date_lodged,date_signed,eiar,nis,parties,Latitude,Longitude
Planning Appeal,"Rear of no. 45, Belgrove Road, Clontarf, Dublin, D03RR62",312562,Grant permission with revised conditions,Change previously approved house (ABP-307815-20 and WEB1182/20) from single to two storey dwelling,21/01/2022,18/04/2023,No,No,"Colm and Mai Gallagher
								(Applicant); Linda and Michael Norton
								(3rd Party Appellant)
															(Active); Derek Beatty
								(3rd Party Appellant)
															(Active); Clare & Gerry Roebuck
								(3rd Party Appellant)
															(Invalid)",53.36105525289197,-6.198175198511886
Planning Appeal,"The Cross, Featherbed Lane (L1315), Blackland, Loughshinny, Co Dublin",312567,Grant permission with revised conditions,Construction of a new access road and associated site development works.,21/01/2022,10/03/2023,No,No,"Fintan Price
								(Applicant); Richard and Lorraine Branagan
								(3rd Party Appellant)
															(Active)",53.58095625489936,-6.108444570037069
Planning Appeal,"Eleanora's Bar & Lounge, 145, 147 & 149 Drimnagh Road, Crumlin, Dublin 12",312577,Refuse Permission,Demolition of extension and shed structures. Refurbishments and extension at ground. Improved and extended outdoor ...,24/01/2022,13/04/2023,No,No,"Christopher and Darren Keane
								(Applicant); Christopher and Darren Keane
								(1st Party Appellant)
															(Active)",53.3241559,-6.3276461
Planning Appeal,"Treepark Road, Kilnamanagh, Dublin 24",312579,Appeal withdrawn,Construction of clubhouse and associated site works.,21/01/2022,13/03/2023,No,No,"Kilnamanagh AFC
								(Applicant); Kilmanagh Family Recreation Centre
								(3rd Party Appellant)
															(Active); Kilnamanagh Family Recreation Centre
								(3rd Party Appellant)
															(Withdrawn)",53.30035282174851,-6.362509339816908
Planning Appeal,"120,122 and 124 Merrion Road, Dublin 4, D04 P8X5, D04H9V3 and D04R2X8 and the laneway to the re...",312617,Grant permission with revised conditions,"Construction of eight houses, alterations to 122 Merrion Road and all associated site development",02/02/2022,18/05/2023,No,No,"Seabren Developments Limited
								(Applicant); Seabren Developments Ltd
								(1st Party Appellant)
															(Active); Liam Smyth
								(3rd Party Appellant)
															(Active); Suzanne Kenny
								(3rd Party Appellant)
															(Active)",,
Planning Appeal,"1 Sycamore Lane, The Square, Donabate, Dublin",312675,Grant Permissions with Conditions,Retention permission for a converted detached single storey outbuilding shed to beauty salon with ancillary works.,09/02/2022,10/03/2023,No,No,"Helen Molloy
								(Applicant); Helen Molloy
								(1st Party Appellant)
															(Active)",,
Planning Appeal,"Seafield House, Claremont Road, Howth, Co.  Dublin, D13 TY23",312679,Grant Permissions with Conditions,Demolition of extension and construction of new dwelling,09/02/2022,01/03/2023,No,No,"Shane O'Hanlon
								(Applicant); Shane O'Hanlon
								(1st Party Appellant)
															(Active)",53.29668905,-6.159603579530367
Planning Appeal,"94 Braemor Road, Churchtown, Dublin 14.",312713,Grant permission with conditions,Construction of single storey extension to front of house. Increase in the roof profile between dormers on rear ele...,11/02/2022,29/05/2023,No,No,"Thomas and Trudy Keogan
								(Applicant); Thomas and Trudy Keogan
								(1st Party Appellant)
															(Active)",53.2999724,-6.261154217276342
Planning Appeal,"70a Booterstown Avenue, Booterstown, County Dublin, A94 P7R0",312743,Grant Permissions with Conditions,Demolition of the existing single storey bungalow and construction of a 2 storey house and all associated site work...,14/02/2022,22/05/2023,No,No,"Ying and Marc McGovern
								(Applicant); Ying and Marc McGovern
								(1st Party Appellant)
															(Active)",53.3039684,-6.198367005093221
Planning Appeal,"16 Palmerston Road, Rathmines, Dublin 06 F5K6",312745,Appeal declared withdrawn S.140(2)(b),"Protected Structure. Demolition extension, construction of extension, reconfiguration of units and all ancillary si...",15/02/2022,02/05/2023,No,No,"Llavan Mallin
								(Applicant); Laura Scott and Patrick Stephenson
								(3rd Party Appellant)
															(Active); Laura Scott and Patrick Stephenson
								(3rd Party Appellant)
															(Withdrawn)",53.318598125111116,-6.259895269684568
Planning Appeal,"126-128 Harold's Cross Road, Dublin 6W",312773,Appeal withdrawn S.140(1)(a),Modifications to the previously approved permission DCC Reg Ref. 4735/18 - ABP 304552-19.  Modifications are to inc...,16/02/2022,03/02/2023,No,No,"BHA Construction Ltd
								(Applicant); Martin Ryan
								(3rd Party Appellant)
															(Active); Martin Ryan
								(3rd Party Appellant)
															(Withdrawn)",53.320802682527884,-6.279012385661493
Planning Appeal,"Lambay, New Road, Howth, Co Dublin, D13 N2F2",312794,Grant Permissions with Conditions,Erection of  house.,17/02/2022,17/02/2023,No,No,"David Watson
								(Applicant); David Watson
								(1st Party Appellant)
															(Active)",53.376754027095494,-6.2616475189923175
Fire Safety Certificate - Revised,"113 Middle Abbey Street, Dublin 1.",312819,Refuse appeal,Revised fire safety certificate application for a green wall in the lounge/reception area of the proposed Motel One...,17/02/2022,20/01/2023,No,No,"Bryan Lawlor Fitzwilliam KS Limited
								(Applicant); Bryan Lawlor Fitzwilliam KS Limited
															(Active)",,
Planning Appeal,"3 Asgard Road, Howth, Dublin 13",312821,Grant permission with revised conditions,Demolition of 1st floor dormer element and construction of single storey extension,21/02/2022,20/02/2023,No,No,"Annmarie & Ger Solan
								(Applicant); Niall McSweeney and Joan Finn
								(3rd Party Appellant)
															(Active)",53.38301490088237,-6.061316810126721
Planning Appeal,"Churchtown Park House (Protected Structure ), Churchtown Road Upper, Dublin 14, D14 X6E5",312837,Grant Permissions with Conditions,Retention of 2-storey over basement property. Construction of a balcony to the rear of the main house.- Alterations...,22/02/2022,12/05/2023,No,No,"Samantha and Gavin Smith
								(Applicant); Samantha and Gavin Smith
								(1st Party Appellant)
															(Active)",53.2914047,-6.258738538812274
Planning Appeal,"Geraldstown Woods, Santry Avenue, Dublin 9, D09 AT04",312870,Refuse Permission,Construction of vehicular and pedestrian entrance with all associated siteworks.,25/02/2022,28/02/2023,No,No,"Geraldstown Woods Management Company
								(Applicant); Geraldstown Woods Management Company
								(1st Party Appellant)
															(Active)",53.3973693,-6.2452513
Planning Appeal,"The Paddock, Borranstown, Ashbourne, Co Dublin",312887,Grant Permissions with Conditions,"Retention of garage as previously constructed and converted to residential use, retention of the current use of sam...",28/02/2022,10/03/2023,No,No,"Nua Healthcare Limited
								(Applicant); Nua Healthcare Limited
								(1st Party Appellant)
															(Active)",53.370711655910235,-6.3303126211199015
Planning Appeal,"118 Thomas Street ( Protected Stucture ), Dublin 8",312896,Refuse Permission,The building is a PROTECTED STRUCTURE located in an architectural conservation area. Change of use from home brewer...,01/03/2022,30/05/2023,No,No,"Bilgola Ltd
								(Applicant); Bilgola Ltd
								(1st Party Appellant)
															(Active)",53.3431685,-6.2803422
Planning Appeal,"Crevamor, 13, Marlborough Road, Glenageary, Co Dublin, A96V9D6",312909,Refuse Permission,"Construction of part two storey 3 bedroom house, car garage, removal of existing vehicular entrance, replacement wi...",01/03/2022,11/05/2023,No,No,"Brian O'Connell
								(Applicant); Brian O'Connell
								(1st Party Appellant)
															(Active)",53.323737699999995,-6.2428945
Planning Appeal,"17 Ulverton Road, Dalkey",312918,Refuse Permission,"Conversion of single occupancy dwelling to two bedroomed apartments. Re-alignment, extension & raising of first flo...",03/03/2022,15/05/2023,No,No,"McGENDCO Limited
								(Applicant); McGENDCO Limited
								(1st Party Appellant)
															(Active)",53.2795017,-6.1072850257704685
Planning Appeal,"Sutton Castle Hotel, Red Rock, Sutton, Dublin 13",312941,Refuse Permission,Omit Condition 3 attached to the permission granted under Reg. Ref. F05A/1172 to permit residential use in lieu of ...,07/03/2022,17/02/2023,No,No,"Sutton Castle Developments Limited
								(Applicant); Sutton Castle Developments Limited
								(1st Party Appellant)
															(Active)",,
Planning Appeal,"House No.s 57-74, Site south of Ongar Road and east of Clonsilla Link Road now known as Castlef...",312945,Appeal withdrawn S.140(1)(a),Revisions to previously permitted development Reg. Ref. FW14A/0042 and FW14A/0042/E1. Amendments proposed are for r...,04/03/2022,31/01/2023,No,No,"E.P. Lynam Properties Ltd
								(Applicant); Brian O'Connor
								(3rd Party Appellant)
															(Active); Brian O'Connor
								(3rd Party Appellant)
															(Withdrawn)",,
Planning Appeal,"The Club Bar, 107 Coliemore Road, Dalkey, Co. Dublin, A96 HX75",312948,Refuse Permission,Retention permission  for development consisting of : Change of use of part of existing Club Bar car park to outdoo...,08/03/2022,19/05/2023,No,No,"Cathleen Sheeran
								(Applicant); Cathleen Sheeran
								(1st Party Appellant)
															(Active)",53.2773116,-6.1025984
Planning Appeal,"Four Ferns Nursing Home, & Tall Trees, Brighton Road and Claremont Road, Foxrock, Dublin 18",312975,Grant permission with revised conditions,Demolition of dwelling known as Tall Trees; Construction of 1-3 storey extensions to the east and west wings of the...,01/03/2022,19/01/2023,No,No,"FWNH Ltd.
								(Applicant); Brian and Paula Harrison
								(3rd Party Appellant)
															(Active)",,
Planning Appeal,"11 Farrenboley Cottages, Windy Arbour, Dublin 14 (D14 P867)",312982,Grant Permissions with Conditions,"Demolish existing garage to front of dwelling, single storey extension and external sheds/WC to rear of dwelling, c...",09/03/2022,20/01/2023,No,No,"Susie O'Nestor and Conor O'Byrne
								(Applicant); Susie O'Nestor and Conor O'Byrne
								(1st Party Appellant)
															(Active)",53.30483444184399,-6.24746565575498
Pre-Application Consultation Request,"Profile Park, Dublin.",312984,Is a Strat. Infrast. Dev.,110kV electrical substation and grid connection.,11/03/2022,03/04/2023,No,No,"Greener Ideas Limited
								(Applicant); Greener Ideas Limited
								(Prospective Applicant)
															(Active)",53.313891600000005,-6.444669560054642
Planning Appeal,"Site of c. 0.20 ha, located at the Former Dun Laoghaire Enterprise Centre, George's Place, Dun ...",312993,Grant permission with revised conditions,"Change of use, conversion, renovation and internal reordering (including a new part 3 no. storey) of the Former Ent...",11/03/2022,09/01/2023,No,No,"Department of Education
								(Applicant); Michael O'Reilly
								(3rd Party Appellant)
															(Invalid); Patricia Stewart
								(3rd Party Appellant)
															(Active); Ann Mulcrone and Others
								(3rd Party Appellant)
															(Active); Michael O'Reilly
								(3rd Party Appellant)
															(Active); Bronwyn Salmon and others
								(3rd Party Appellant)
															(Active)",53.3493795,-6.2605593
Planning Appeal,"Mount Verona House, 6 Summerhill Road, (adjoining Martello Ave), Dun Laoghaire, County Dublin, ...",313006,Grant Permissions with Conditions,"Changes to the attic area, (raising ridge by 0.98m.) so as to create a usable habitable space.",14/03/2022,31/05/2023,No,No,"Mathieu & Maylis Pfiffer
								(Applicant); Mathieu & Maylis Pfiffer
								(1st Party Appellant)
															(Active)",53.288957249999996,-6.127793592921616
Planning Appeal,"72 Pinebrook Vale, Huntstown, Dublin 15, D15 F9TE",313038,Grant Permissions with Conditions,"Two storey (plus attic bedroom) detached house with gable wall with windows and entrance door to west, dormer windo...",16/03/2022,02/03/2023,No,No,"Boris Leu
								(Applicant); Boris Leu
								(1st Party Appellant)
															(Active)",53.3987761,-6.41314925
